Year,nodes,edges,average_degree,average_clustering,diameter,average_distance,highest_degree_centrality_pid,highest_degree_centrality_value,highest_eigen_centrality_pid,highest_eigen_centrality_value,highest_closeness_centrality_pid,highest_closeness_centrality_value,highest_betweenness_centrality_pid,highest_betweenness_centrality_value
2021,79,227,2.873417722,0.270476359,6,2.784485557,l/BuSungLee,0.269230769,m/ChunyanMiao,0.35412356,l/BuSungLee,0.496815287,l/BuSungLee,0.149188898
2020,79,226,2.860759494,0.272043568,6,2.787731256,l/BuSungLee,0.269230769,m/ChunyanMiao,0.355271354,l/BuSungLee,0.496815287,l/BuSungLee,0.15011889
2019,75,213,2.84,0.300771151,6,2.771531532,l/BuSungLee,0.283783784,l/BuSungLee,0.346130952,l/BuSungLee,0.506849315,l/BuSungLee,0.169477913
2018,74,190,2.567567568,0.260478935,NA,NA,l/BuSungLee,0.287671233,l/BuSungLee,0.367775456,l/BuSungLee,0.500397062,l/BuSungLee,0.186486722
2017,65,165,2.538461538,0.246101054,NA,NA,l/BuSungLee,0.3125,l/BuSungLee,0.37691806,l/BuSungLee,0.496384298,l/BuSungLee,0.191843633
2016,59,144,2.440677966,0.261031762,NA,NA,l/BuSungLee,0.344827586,l/BuSungLee,0.417279586,l/BuSungLee,0.514942529,l/BuSungLee,0.253003919
2015,59,137,2.322033898,0.259194052,NA,NA,l/BuSungLee,0.344827586,l/BuSungLee,0.429584036,l/BuSungLee,0.502758621,l/BuSungLee,0.258190411
2014,59,135,2.288135593,0.261938201,NA,NA,l/BuSungLee,0.344827586,l/BuSungLee,0.430657735,l/BuSungLee,0.502758621,l/BuSungLee,0.263929233
2013,56,122,2.178571429,0.270733449,NA,NA,l/BuSungLee,0.363636364,l/BuSungLee,0.460734032,l/BuSungLee,0.521150278,l/BuSungLee,0.354631853
2012,55,113,2.054545455,0.282102156,NA,NA,l/BuSungLee,0.351851852,l/BuSungLee,0.463181199,l/BuSungLee,0.474074074,l/BuSungLee,0.299542466
2011,52,102,1.961538462,0.326417618,NA,NA,l/BuSungLee,0.333333333,l/BuSungLee,0.459552935,l/BuSungLee,0.470801364,l/BuSungLee,0.284321191
2010,43,88,2.046511628,0.403580657,6,3.03654485,l/BuSungLee,0.380952381,l/BuSungLee,0.477104303,l/BuSungLee,0.525,l/BuSungLee,0.390525045
2009,43,77,1.790697674,0.357585825,7,3.300110742,l/BuSungLee,0.357142857,l/BuSungLee,0.510925777,l/BuSungLee,0.488372093,l/BuSungLee,0.483311211
2008,42,68,1.619047619,0.316880342,8,3.613240418,l/BuSungLee,0.317073171,l/BuSungLee,0.519356663,l/BuSungLee,0.445652174,l/BuSungLee,0.512723577
2007,38,58,1.526315789,0.371390013,NA,NA,l/BuSungLee,0.351351351,l/BuSungLee,0.531932667,l/BuSungLee,0.453535728,l/BuSungLee,0.541991992
2006,34,48,1.411764706,0.381372549,NA,NA,l/BuSungLee,0.393939394,l/BuSungLee,0.561454843,l/BuSungLee,0.458333333,l/BuSungLee,0.32260101
2005,29,36,1.24137931,0.389655172,NA,NA,l/BuSungLee,0.357142857,l/BuSungLee,0.55287383,l/BuSungLee,0.382275132,l/BuSungLee,0.212081129
2004,26,31,1.192307692,0.288034188,NA,NA,l/BuSungLee,0.36,l/BuSungLee,0.549540429,l/BuSungLee,0.393846154,l/BuSungLee,0.231666667
2003,22,23,1.045454545,0.165367965,NA,NA,l/BuSungLee,0.333333333,l/BuSungLee,0.536666841,l/BuSungLee,0.403361345,l/BuSungLee,0.214285714
2002,20,21,1.05,0.215238095,NA,NA,l/BuSungLee,0.368421053,l/BuSungLee,0.538988109,l/BuSungLee,0.4048583,l/BuSungLee,0.178362573
2001,18,19,1.055555556,0.253968254,NA,NA,l/BuSungLee,0.411764706,l/BuSungLee,0.549906305,l/BuSungLee,0.43315508,l/BuSungLee,0.191176471
2000,18,17,0.944444444,0.177777778,NA,NA,l/BuSungLee,0.352941176,l/BuSungLee,0.577935432,l/BuSungLee,0.397058824,l/BuSungLee,0.1875
